군,시설군,호,용도군,세부용도,비고
7,근린생활시설군,3, 제1종 근린생활시설,"다. 이용원, 미용원, 목욕장, 세탁소 등 사람의 위생관리나 의류 등을 세탁·수선하는 시설
(세탁소의 경우 공장에 부설되는 것과 「대기환경보전법」, 「물 환경보전법」 또는 「소음·진동관리법」에 따른 배출시설의 설치 허가 또는 신고의 대상인 것은 제외한다)",
7,근린생활시설군,3, 제1종 근린생활시설,"라. 의원, 치과의원, 한의원, 침술원, 접골원(接骨院), 조산원, 안마원, 산후조리 원 등 주민의 진료·치료 등을 위한 시설",
7,근린생활시설군,3, 제1종 근린생활시설,"마. 탁구장, 체육도장으로서 같은 건축물에 해당 용도로 쓰는 바닥면적의 합계 가 500제곱미터 미만인 것",
7,근린생활시설군,3, 제1종 근린생활시설,"바. 지역자치센터, 파출소, 지구대, 소방서, 우체국, 방송국, 보건소, 공공도서 관, 건강보험공단 사무소 등 주민의 편의를 위하여 공공업무를 수행하는 시설로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 1천 제곱미터 미만인 것",
7,근린생활시설군,3, 제1종 근린생활시설,"사. 마을회관, 마을공동작업소, 마을공동구판장, 공중화장실, 대피소, 지역아동 센터(단독주택과 공동주택에 해당하는 것은 제외한다) 등 주민이 공동으로 이용하는 시설",
7,근린생활시설군,3, 제1종 근린생활시설,"아. 변전소, 도시가스배관시설, 통신용 시설(해당 용도로 쓰는 바닥면적의 합계 가 1천제곱미터 미만인 것에 한정한다), 
정수장, 양수장 등 주민의 생활에 필요한 에너지공급·통신서비스제공이나 급수·배수와 관련된 시설",
7,근린생활시설군,3, 제1종 근린생활시설,"자. 금융업소, 사무소, 부동산중개사무소, 결혼상담소 등 소개업소, 출판사 등 일반업무시설로서 같은 
건축물에 해당 용도로 쓰는 바닥면적의 합계가 30제 곱미터 미만인 것",
7,근린생활시설군,3, 제1종 근린생활시설,차. 전기자동차 충전소(해당 용도로 쓰는 바닥면적의 합계가 1천제곱미터 미만 인 것으로 한정한다),
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"가. 공연장(극장, 영화관, 연예장, 음악당, 서커스장, 비디오물감상실, 비디오물 소극장, 그 밖에 이와 비슷한 것을 말한다. 이하 같다)으로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500제곱미터 미만인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"나. 종교집회장[교회, 성당, 사찰, 기도원, 수도원, 수녀원, 제실(祭室), 사당, 그 밖에 이와 비슷한 것을 말한다. 이하 같다]으로서 
같은 건축물에 해당 용 도로 쓰는 바닥면적의 합계가 500제곱미터 미만인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,다. 자동차영업소로서 같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 1천 제곱미터 미만인 것,
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,라. 서점(제1종 근린생활시설에 해당하지 않는 것),
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,마. 총포판매소,
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"바. 사진관, 표구점",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"사. 청소년게임제공업소, 복합유통게임제공업소, 인터넷컴퓨터게임시설제공업 소, 가상현실체험 제공업소, 그 밖에 이와 비슷한 게임 및 체험 관련 시설로서
 같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500제곱미터 미만 인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"아. 휴게음식점, 제과점 등 음료·차(茶)·음식·빵·떡·과자 등을 조리하거 나 제조하여 판매하는 시설(너목 또는 제17호에 해당하는 것은 제외한다)로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 300제곱미터 이상 인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,자. 일반음식점,
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"차. 장의사, 동물병원, 동물미용실, 「동물보호법」 제32조제1항제6호에 따른 동물위탁관리업을 위한 시설, 그 밖에 이와 유사한 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"카. 학원(자동차학원·무도학원 및 정보통신기술을 활용하여 원격으로 교습하 는 것은 제외한다), 교습소(자동차교습·무도교습 및 정보통신기술을 활용하여 원격으로 교습하는 것은 제외한다), 
직업훈련소(운전·정비 관련 직업훈련소는 제외한다)로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500제곱미터 미만인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"타. 독서실, 기원",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"파. 테니스장, 체력단련장, 에어로빅장, 볼링장, 당구장, 실내낚시터, 골프연습 장, 놀이형시설(「관광진흥법」에 따른 기타유원시설업의 시설을 말한다. 이 하 같다) 등 주민의 체육 활동을 위한 시설(제3호마목의 시설은 제외한다)로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500제곱미터 미만인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"하. 금융업소, 사무소, 부동산중개사무소, 결혼상담소 등 소개업소, 출판사 등 일반업무시설로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500 제곱미터 미만인 것(제1종 근린생활시설에 해당하는 것은 제외한다)",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"거. 다중생활시설(「다중이용업소의 안전관리에 관한 특별법」에 따른 다중이용업 중 고시원업의 시설로서 국토교통부장관이 고시하는 기준과 그 기준에 위배되지 않는 범위에서 적정한 주거환경을 조성하기 위하여 
건축조례로 정 하는 실별 최소 면적, 창문의 설치 및 크기 등의 기준에 적합한 것을 말한 다. 이하 같다)로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500제곱미터 미만인 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"너. 제조업소, 수리점 등 물품의 제조·가공·수리 등을 위한 시설로서 
같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 500제곱미터 미만이고, 
다음 요건 중 어느 하나에 해당하는 것 
1) 「대기환경보전법」, 「물환경보전법」 또는 「소음·진동관리법」에 따른 배출시설의 설치 허가 또는 신고의 대상이 아닌 것 
2) 「물환경보전법」 제33조제1항 본문에 따라 폐수배출시설의 설치 허가를 받거나 신고해야 하는 시설로서 발생되는 폐수를 전량 위탁처리하는 것",
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,더. 단란주점으로서 같은 건축물에 해당 용도로 쓰는 바닥면적의 합계가 150 제곱미터 미만인 것,
"4, 7",근린생활시설군/문화 및 집회시설군(다중생활시설),4, 제2종 근린생활시설,"러. 안마시술소, 노래연습장",
4,문화 및 집회시설군,5, 문화 및 집회시설,가. 공연장으로서 제2종 근린생활시설에 해당하지 아니하는 것,
4,문화 및 집회시설군,5, 문화 및 집회시설,"나. 집회장[예식장, 공회당, 회의장, 마권(馬券) 장외 발매소, 마권 전화투표소, 그 밖에 이와 비슷한 것을 말한다]으로서 제2종 근린생활시설에 해당하지 아니하는 것",
4,문화 및 집회시설군,5, 문화 및 집회시설,"다. 관람장(경마장, 경륜장, 경정장, 자동차 경기장, 그 밖에 이와 비슷한 것과 체육관 및 운동장으로서 관람석의 바닥면적의 합계가 1천 제곱미터 이상인 것을 말한다)",
4,문화 및 집회시설군,5, 문화 및 집회시설,"라. 전시장(박물관, 미술관, 과학관, 문화관, 체험관, 기념관, 산업전시장, 박람 회장, 그 밖에 이와 비슷한 것을 말한다)",
4,문화 및 집회시설군,5, 문화 및 집회시설,"마. 동·식물원(동물원, 식물원, 수족관, 그 밖에 이와 비슷한 것을 말한다)",
4,문화 및 집회시설군,6, 종교시설,가. 종교집회장으로서 제2종 근린생활시설에 해당하지 아니하는 것,
4,문화 및 집회시설군,6, 종교시설,나. 종교집회장(제2종 근린생활시설에 해당하지 아니하는 것을 말한다)에 설치 하는 봉안당(奉安堂),
5,영업시설군,7, 판매시설,"가. 도매시장(「농수산물유통 및 가격안정에 관한 법률」에 따른 농수산물도매 시장, 농수산물공판장, 그 밖에 이와 비슷한 것을 말하며, 그 안에 있는 근린생활시설을 포함한다)",
5,영업시설군,7, 판매시설,"나. 소매시장(「유통산업발전법」 제2조제3호에 따른 대규모 점포, 그 밖에 이 와 비슷한 것을 말하며, 그 안에 있는 근린생활시설을 포함한다)",
5,영업시설군,7, 판매시설,"다. 상점(그 안에 있는 근린생활시설을 포함한다)으로서 다음의 요건 중 어느 하나에 해당하는 것 
1) 제3호가목에 해당하는 용도(서점은 제외한다)로서 제1종 근린생활시설에 해당하지 아니하는 것
2) 「게임산업진흥에 관한 법률」 제2조제6호의2가목에 따른 청소년게임제공 업의 시설, 같은 호 나목에 따른 일반게임제공업의 시설, 같은 조 제7호에 따른 인터넷컴퓨터게임시설제공업의 시설 및 같은 조 제8호에 따른 복합유 통게임제공업의 시설로서 
제2종 근린생활시설에 해당하지 아니하는 것",
2,산업 등의 시설군,8, 운수시설,가. 여객자동차터미널,
2,산업 등의 시설군,8, 운수시설,나. 철도시설,
2,산업 등의 시설군,8, 운수시설,다. 공항시설,
2,산업 등의 시설군,8, 운수시설,라. 항만시설,
2,산업 등의 시설군,8, 운수시설,마. 그 밖에 가목부터 라목까지의 규정에 따른 시설과 비슷한 시설,
6,교육 및 복지시설군,9, 의료시설,"가. 병원(종합병원, 병원, 치과병원, 한방병원, 정신병원 및 요양병원을 말한다)",
6,교육 및 복지시설군,9, 의료시설,"나. 격리병원(전염병원, 마약진료소, 그 밖에 이와 비슷한 것을 말한다)",
6,교육 및 복지시설군,10, 교육연구시설,"가. 학교(유치원, 초등학교, 중학교, 고등학교, 전문대학, 대학, 대학교, 그 밖에 이에 준하는 각종 학교를 말한다)",(제2종 근린생활시설에 해당하는 것은 제외한다)
6,교육 및 복지시설군,10, 교육연구시설,"나. 교육원(연수원, 그 밖에 이와 비슷한 것을 포함한다",""""""
6,교육 및 복지시설군,10, 교육연구시설,다. 직업훈련소(운전 및 정비 관련 직업훈련소는 제외한다),""""""
6,교육 및 복지시설군,10, 교육연구시설,"라. 학원(자동차학원·무도학원 및 정보통신기술을 활용하여 원격으로 교습하 는 것은 제외한다), 교습소(자동차교습?무도교습 및 정보통신기술을 활용하 여 원격으로 교습하는 것은 제외한다)",""""""
6,교육 및 복지시설군,10, 교육연구시설,마. 연구소(연구소에 준하는 시험소와 계측계량소를 포함한다),""""""
6,교육 및 복지시설군,10, 교육연구시설,바. 도서관,""""""
6,교육 및 복지시설군,11, 노유자(老幼者: 노인 및 어린이)시설,"가. 아동 관련 시설(어린이집, 아동복지시설, 그 밖에 이와 비슷한 것으로서 단독주택, 공동주택 및 제1종 근린생활시설에 해당하지 아니하는 것을 말한다)",
6,교육 및 복지시설군,11, 노유자(老幼者: 노인 및 어린이)시설,나. 노인복지시설(단독주택과 공동주택에 해당하지 아니하는 것을 말한다),
6,교육 및 복지시설군,11, 노유자(老幼者: 노인 및 어린이)시설,다. 그 밖에 다른 용도로 분류되지 아니한 사회복지시설 및 근로복지시설,
6,교육 및 복지시설군,12, 수련시설,"가. 생활권 수련시설(「청소년활동진흥법」에 따른 청소년수련관, 청소년문화 의집, 청소년특화시설, 그 밖에 이와 비슷한 것을 말한다)",
6,교육 및 복지시설군,12, 수련시설,"나. 자연권 수련시설(「청소년활동진흥법」에 따른 청소년수련원, 청소년야영 장, 그 밖에 이와 비슷한 것을 말한다)",
6,교육 및 복지시설군,12, 수련시설,다. 「청소년활동진흥법」에 따른 유스호스텔,
6,교육 및 복지시설군,12, 수련시설,라. 「관광진흥법」에 따른 야영장 시설로서 제29호에 해당하지 아니하는 시설,
5,영업시설군,13, 운동시설,"가. 탁구장, 체육도장, 테니스장, 체력단련장, 에어로빅장, 볼링장, 당구장, 실내 낚시터, 골프연습장, 놀이형시설, 그 밖에 이와 비슷한 것으로서 제1종 근린 생활시설 및 제2종 근린생활시설에 해당하지 아니하는 것",
5,영업시설군,13, 운동시설,나. 체육관으로서 관람석이 없거나 관람석의 바닥면적이 1천제곱미터 미만인 것,
5,영업시설군,13, 운동시설,"다. 운동장(육상장, 구기장, 볼링장, 수영장, 스케이트장, 롤러스케이트장, 승마 장, 사격장, 궁도장, 골프장 등과 이에 딸린 건축물을 말한다)으로서 관람석 이 없거나 관람석의 바닥면적이 1천 제곱미터 미만인 것",
9,주거업무시설군,14, 업무시설,가. 공공업무시설: 국가 또는 지방자치단체의 청사와 외국공관의 건축물로서 제1종 근린생활시설에 해당하지 아니하는 것,
9,주거업무시설군,14, 업무시설,"나. 일반업무시설: 다음 요건을 갖춘 업무시설을 말한다. 
1) 금융업소, 사무소, 결혼상담소 등 소개업소, 출판사, 신문사, 그 밖에 이와 비슷한 것으로서 제1종 근린생활시설 및 제2종 근린생활시설에 해당하지 않 는 것
2) 오피스텔(업무를 주로 하며, 분양하거나 임대하는 구획 중 일부 구획에서 숙식을 할 수 있도록 한 건축물로서 국토교통부장관이 고시하는 기준에 적 합한 것을 말한다)",
5,영업시설군,15, 숙박시설,가. 일반숙박시설 및 생활숙박시설(「공중위생관리법」 제3조제1항 전단에 따 라 숙박업 신고를 해야 하는 시설로서 국토교통부장관이 정하여 고시하는 요건을 갖춘 시설을 말한다),
5,영업시설군,15, 숙박시설,"나. 관광숙박시설(관광호텔, 수상관광호텔, 한국전통호텔, 가족호텔, 호스텔, 소 형호텔, 의료관광호텔 및 휴양 콘도미니엄)",
5,영업시설군,15, 숙박시설,다. 다중생활시설(제2종 근린생활시설에 해당하지 아니하는 것을 말한다),
5,영업시설군,15, 숙박시설,라. 그 밖에 가목부터 다목까지의 시설과 비슷한 것,
4,문화 및 집회시설군,16, 위락(慰樂)시설,가. 단란주점으로서 제2종 근린생활시설에 해당하지 아니하는 것,
4,문화 및 집회시설군,16, 위락(慰樂)시설,나. 유흥주점이나 그 밖에 이와 비슷한 것,
4,문화 및 집회시설군,16, 위락(慰樂)시설,"다. 「관광진흥법」에 따른 유원시설업의 시설, 그 밖에 이와 비슷한 시설(제2 종 근린생활시설과 운동시설에 해당하는 것은 제외한다)",
4,문화 및 집회시설군,16, 위락(慰樂)시설,라. 삭제,
4,문화 및 집회시설군,16, 위락(慰樂)시설,"마. 무도장, 무도학원",
4,문화 및 집회시설군,16, 위락(慰樂)시설,바. 카지노영업소,
2,산업 등의 시설군,17, 공장,"물품의 제조·가공[염색·도장(塗裝)·표백·재봉·건조·인쇄 등을 포함한 다] 또는 수리에 계속적으로 이용되는 건축물로서 
제1종 근린생활시설, 제2 종 근린생활시설, 위험물저장 및 처리시설, 자동차 관련 시설, 자원순환 관 련 시설 등으로 따로 분류되지 아니한 것",
2,산업 등의 시설군,18, 창고시설,가. 창고(물품저장시설로서 「물류정책기본법」에 따른 일반창고와 냉장 및 냉 동 창고를 포함한다),(위험물 저장 및 처리 시설 또는 그 부속용도에 해당하는 것은 제외한다)
2,산업 등의 시설군,18, 창고시설,나. 하역장,""""""
2,산업 등의 시설군,18, 창고시설,다. 「물류시설의 개발 및 운영에 관한 법률」에 따른 물류터미널,""""""
2,산업 등의 시설군,18, 창고시설,라. 집배송 시설,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,가. 주유소(기계식 세차설비를 포함한다) 및 석유 판매소,"「위험물안전관리법」, 「석유 및 석유대체연료 사업법」, 「도시가스사업 법」, 「고압가스 안전관리법」, 「액화석유가스의 안전관리 및 사업법」, 「총포·도검·화약류 등 단속법」, 「화학물질 관리법」 
등에 따라 설치 또 는 영업의 허가를 받아야 하는 건축물로서 다음 각 목의 어느 하나에 해당 하는 것. 다만, 자가난방, 자가발전, 그 밖에 이와 비슷한 목적으로 쓰는 저장시설은 제외한다."
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,나. 액화석유가스 충전소·판매소·저장소(기계식 세차설비를 포함한다),""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,다. 위험물 제조소·저장소·취급소,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,라. 액화가스 취급소·판매소,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,마. 유독물 보관·저장·판매시설,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,바. 고압가스 충전소·판매소·저장소,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,사. 도료류 판매소,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,아. 도시가스 제조시설,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,자. 화약류 저장소,""""""
2,산업 등의 시설군,19, 위험물 저장 및 처리 시설,차. 그 밖에 가목부터 자목까지의 시설과 비슷한 것,""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,가. 주차장,(건설기계 관련 시설을 포함한다)
1,자동차 관련 시설군,20, 자동차 관련 시설,나. 세차장,""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,다. 폐차장,""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,라. 검사장,""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,마. 매매장,""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,바. 정비공장,""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,사. 운전학원 및 정비학원(운전 및 정비 관련 직업훈련시설을 포함한다),""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,"아. 「여객자동차 운수사업법」, 「화물자동차 운수사업법」 및 「건설기계관 리법」에 따른 차고 및 주기장(駐機場)",""""""
1,자동차 관련 시설군,20, 자동차 관련 시설,자. 전기자동차 충전소로서 제1종 근린생활시설에 해당하지 않는 것,""""""
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,가. 축사(양잠·양봉·양어·양돈·양계·곤충사육 시설 및 부화장 등을 포함 한다),
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,"나. 가축시설[가축용 운동시설, 인공수정센터, 관리사(管理舍), 가축용 창고, 가 축시장, 동물검역소, 실험동물 사육시설, 그 밖에 이와 비슷한 것을 말한다]",
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,다. 도축장,
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,라. 도계장,
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,마. 작물 재배사,
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,바. 종묘배양시설,
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,사. 화초 및 분재 등의 온실,
9,그 밖의 시설군,21, 동물 및 식물 관련 시설,아. 동물 또는 식물과 관련된 가목부터 사목까지의 시설과 비슷한 것(동·식물 원은 제외한다),
2,산업 등의 시설군,22, 자원순환 관련 시설,가. 하수 등 처리시설,
2,산업 등의 시설군,22, 자원순환 관련 시설,나. 고물상,
2,산업 등의 시설군,22, 자원순환 관련 시설,다. 폐기물재활용시설,
2,산업 등의 시설군,22, 자원순환 관련 시설,라. 폐기물 처분시설,
2,산업 등의 시설군,22, 자원순환 관련 시설,마. 폐기물감량화시설,
3,주거업무시설군,23, 교정(矯正) 및 군사 시설,"가. 교정시설(보호감호소, 구치소 및 교도소를 말한다)",(제1종 근린생활시설에 해당하는 것은 제외한다)
3,주거업무시설군,23, 교정(矯正) 및 군사 시설,"나. 갱생보호시설, 그 밖에 범죄자의 갱생·보육·교육·보건 등의 용도로 쓰는 시설",""""""
3,주거업무시설군,23, 교정(矯正) 및 군사 시설,다. 소년원 및 소년분류심사원,""""""
3,주거업무시설군,23, 교정(矯正) 및 군사 시설,라. 국방·군사시설,""""""
3,전기통신시설군,24, 방송통신시설,가. 방송국(방송프로그램 제작시설 및 송신·수신·중계시설을 포함한다),(제1종 근린생활시설에 해당하는 것은 제외한다)
3,전기통신시설군,24, 방송통신시설,나. 전신전화국,""""""
3,전기통신시설군,24, 방송통신시설,다. 촬영소,""""""
3,전기통신시설군,24, 방송통신시설,라. 통신용 시설,""""""
3,전기통신시설군,24, 방송통신시설,마. 데이터센터,""""""
3,전기통신시설군,24, 방송통신시설,바. 그 밖에 가목부터 마목까지의 시설과 비슷한 것,""""""
3,전기통신시설군,25, 발전시설,발전소(집단에너지 공급시설을 포함한다)로 사용되는 건축물로서 제1종 근린 생활시설에 해당하지 아니하는 것,
2,산업 등의 시설군,26, 묘지 관련 시설,가. 화장시설,
2,산업 등의 시설군,26, 묘지 관련 시설,나. 봉안당(종교시설에 해당하는 것은 제외한다),
2,산업 등의 시설군,26, 묘지 관련 시설,다. 묘지와 자연장지에 부수되는 건축물,
2,산업 등의 시설군,26, 묘지 관련 시설,"라. 동물화장시설, 동물건조장(乾燥葬)시설 및 동물 전용의 납골시설",
4,문화 및 집회시설군,27, 관광 휴게시설,가. 야외음악당,
4,문화 및 집회시설군,27, 관광 휴게시설,나. 야외극장,
4,문화 및 집회시설군,27, 관광 휴게시설,다. 어린이회관,
4,문화 및 집회시설군,27, 관광 휴게시설,라. 관망탑,
4,문화 및 집회시설군,27, 관광 휴게시설,마. 휴게소,
4,문화 및 집회시설군,27, 관광 휴게시설,바. 공원·유원지 또는 관광지에 부수되는 시설,
2,산업 등의 시설군,28,장례시설,가. 장례식장[의료시설의 부수시설(「의료법」 제36조제1호에 따른 의료기관의 종류에 따른 시설을 말한다)에 해당하는 것은 제외한다],
2,산업 등의 시설군,28,장례시설,나. 동물 전용의 장례식장,
6,교육 및 복지시설군,29,야영장 시설,"「관광진흥법」에 따른 야영장 시설로서 관리동, 화장실, 샤워실, 대피소, 취 사시설 등의 용도로 쓰는 바닥면적의 합계가 300제곱미터 미만인 것",
